Chose device: name='Tesla M2070' index=0 id=0x3b89230
test	atts	units	median	mean	stddev	min	max	trial0	trial1	trial2	trial3	trial4	trial5	trial6	trial7	trial8	trial9	
ReadbackDelay	   256kB	ms	0.005232	0.0052576	9.92e-05	0.00512	0.005408	0.005344	0.005376	0.005408	0.005248	0.005344	0.00512	0.005216	0.00512	0.005216	0.005184	
ReadbackDelay	   512kB	ms	0.005136	0.005152	4.74637e-05	0.005088	0.005248	0.005152	0.005152	0.005216	0.005184	0.005248	0.00512	0.00512	0.00512	0.005088	0.00512	
ReadbackDelay	  1024kB	ms	0.005168	0.005168	6.11359e-05	0.005088	0.005248	0.005248	0.005152	0.005088	0.005184	0.005248	0.005088	0.00512	0.005184	0.00512	0.005248	
ReadbackDelay	  2048kB	ms	0.005168	0.005168	5.94374e-05	0.005056	0.005248	0.005248	0.005152	0.005152	0.005184	0.005056	0.005088	0.005152	0.005184	0.005216	0.005248	
ReadbackDelay	  4096kB	ms	0.005184	0.0052	4.11047e-05	0.005152	0.005248	0.005184	0.005184	0.005152	0.005248	0.005248	0.005248	0.005184	0.005152	0.005248	0.005152	
ReadbackDelay	  8192kB	ms	0.005152	0.0051648	4.78932e-05	0.00512	0.005248	0.005152	0.005184	0.005248	0.00512	0.00512	0.005152	0.00512	0.005248	0.00512	0.005184	
ReadbackDelay	 16384kB	ms	0.005216	0.0052288	0.00011011	0.005088	0.00544	0.005344	0.005152	0.00544	0.005088	0.005152	0.005312	0.005088	0.005248	0.005184	0.00528	
ReadbackDelay	 32768kB	ms	0.0052	0.0052032	0.000105357	0.005024	0.005408	0.005408	0.005248	0.005024	0.005184	0.005088	0.005312	0.005216	0.005184	0.00512	0.005248	
ReadbackDelay	 65536kB	ms	0.005264	0.0052896	0.000177622	0.004992	0.005728	0.005216	0.00528	0.004992	0.005216	0.005344	0.005248	0.005312	0.005184	0.005728	0.005376	
ReadbackLatencyEstimate	1-2kb	ms	0.2425	0.2458	0.0598762	0.173	0.371	0.371	0.268	0.173	0.29	0.188	0.217	0.204	0.185	0.294	0.268	
